Wavelength (nm),Scattered Light Coupling (dB) (snspd 1),Scattered Light Coupling (dB) (snspd 2),Scattered Light Coupling (dB) (snspd 3)
1621.906355,-119.0688205,-117.3264121,-120.0116875
1622.575251,-120.2079745,-118.1416813,-119.0256121
1623.244147,-119.0189773,-120.6234447,-119.7343334
1623.913043,-120.5530015,-118.3736751,-118.0595905
1624.58194,-118.3974539,-118.9483144,-118.2803863
1625.250836,-118.3825696,-120.5690057,-118.5148523
1625.919732,-120.2383722,-118.5948437,-114.7483396
1626.588629,-119.7705854,-118.1985263,-119.501864
1627.257525,-118.961821,-118.9349629,-119.9430617
1627.926421,-117.747837,-120.0275329,-117.747837
1628.595318,-121.0580695,-119.5637917,-118.6187804
1629.264214,-117.9678309,-121.0353626,-121.395558
1629.93311,-119.0963995,-118.9380596,-121.6480125
1630.602007,-119.4347457,-121.3797089,-114.4088503
1631.270903,-117.3515613,-120.4345322,-118.8173956
1631.939799,-118.6599689,-120.2899782,-115.7102691
1632.608696,-118.5742705,-119.2650797,-117.3384145
1633.277592,-116.6200747,-118.2710726,-117.7815138
1633.946488,-122.2351107,-119.7657215,-119.6697055
1634.615385,-116.4393928,-120.2710491,-118.5398829
1635.284281,-119.9726903,-116.9108312,-117.5939885
1635.953177,-118.2629884,-121.2459455,-121.3192459
1636.622074,-117.1361864,-120.3372971,-117.9513082
1637.29097,-117.8376444,-120.176063,-119.0144149
1637.959866,-120.9104837,-117.6354122,-118.291071
1638.628763,-120.9791498,-119.2356438,-119.0312322
1639.297659,-118.7128802,-118.641179,-119.4912869
1639.966555,-119.3092936,-118.0439688,-117.1035983
1640.635452,-117.0044806,-119.3552032,-118.267721
1641.304348,-121.0107813,-119.2790357,-122.3010575
1641.973244,-120.1940008,-118.8711695,-117.6686609
1642.64214,-120.0460681,-117.8731002,-119.7286341
1643.311037,-118.2951806,-118.9191246,-117.9521383
1643.979933,-119.4930553,-121.3473681,-121.5503012
1644.648829,-118.6603013,-119.1718265,-117.7515563
1645.317726,-118.4159417,-115.261533,-120.9619461
