"Wavelength (nm)","Norm SNSPD Counts (dB)"
1540.42,-30.057184324969807
1540.43,-30.084803443124134
1540.44,-30.02821281671812
1540.45,-30.071925450483548
1540.46,-30.077999019461174
1540.47,-30.041597016565945
1540.48,-29.973751497860977
1540.49,-29.92717943554431
1540.5,-29.954020384946446
1540.51,-29.992312382818945
1540.52,-29.92501141624881
1540.5300000000002,-29.99266940757989
1540.5400000000002,-29.946031891046175
1540.5500000000002,-29.95929594571068
1540.5600000000002,-29.990201571485823
1540.5700000000002,-30.105702010798918
1540.5800000000002,-30.147416457022985
1540.5900000000001,-30.202902245400107
1540.6000000000001,-30.238636863367812
1540.6100000000001,-30.433733419520458
1540.6200000000001,-30.555333888669196
1540.63,-30.729662251900706
1540.64,-30.99532167799182
1540.65,-31.151192342185933
1540.66,-31.40427114701142
1540.67,-31.807315433046703
1540.68,-32.13829727530566
1540.69,-32.74827276171601
1540.7,-33.22782378930518
1540.71,-34.036178304084416
1540.72,-34.932843441169524
1540.73,-36.15561102712877
1540.74,-37.39485818614198
1540.75,-39.67245451585265
1540.76,-44.21819632602538
1540.77,-46.47728130484406
1540.7800000000002,-49.77599009355498
1540.7900000000002,-50.77368064462349
1540.8000000000002,-45.85335426353626
1540.8100000000002,-42.04014672673128
1540.8200000000002,-39.63385957697397
1540.8300000000002,-37.54123726459168
1540.8400000000001,-36.03774108079452
1540.8500000000001,-35.10251139101142
1540.8600000000001,-34.0733451163092
1540.8700000000001,-33.21635894787236
1540.88,-32.510878022523514
1540.89,-32.00312827994219
1540.9,-31.656586145488088
1540.91,-31.084965241820743
1540.92,-30.68579241941642
1540.93,-30.35928767173919
1540.94,-30.033613723642315
1540.95,-29.757328984740884
1540.96,-29.55723830316476
1540.97,-29.365747533972154
1540.98,-29.146238645429108
1540.99,-29.011743898973442
1541.,-28.856515182956556
1541.01,-28.623126052035484
1541.02,-28.44526210393588
1541.0300000000002,-28.35265629665426
1541.0400000000002,-28.284992014574314
1541.0500000000002,-28.178192919545126
1541.0600000000002,-28.007693073489406
1541.0700000000002,-27.943064082516113
1541.0800000000002,-27.861124279739677
1541.0900000000001,-27.7457922386696
1541.1000000000001,-27.728517121804508
1541.1100000000001,-27.635419202950466
1541.1200000000001,-27.51174864589618
1541.13,-27.489502959868958
1541.14,-27.42946489011956
1541.15,-27.37297038548272
1541.16,-27.25240936313398
1541.17,-27.27594596055651
1541.18,-27.211396021734345
1541.19,-27.13574968623248
1541.2,-27.045923458621143
1541.21,-27.04139930744605
1541.22,-27.022812458563187
1541.23,-26.96408149914888
1541.24,-26.904406949924958
1541.25,-26.842467132959634
1541.26,-26.81726867729722
1541.27,-26.807474733699486
1541.2800000000002,-26.805793410065725
1541.2900000000002,-26.792291467162247
1541.3000000000002,-26.720475846905458
1541.3100000000002,-26.662560695313474
1541.3200000000002,-26.606460289357095
1541.3300000000002,-26.621203400452742
1541.3400000000001,-26.499933071668494
1541.3500000000001,-26.45948913836772
1541.3600000000001,-26.38105493952682
1541.3700000000001,-26.364845456357603
1541.38,-26.353823886567184
1541.39,-26.298307424179637
1541.4,-26.258065966345185
1541.41,-26.24405471417289
1541.42,-26.128060553015914
1541.43,-26.057495741206207
1541.44,-26.001403312943925
1541.45,-25.970439360752913
1541.46,-25.94802329960997
1541.47,-25.8988204836068
1541.48,-25.78619591380722
1541.49,-25.75043232864511
1541.5,-25.696721469380126
1541.51,-25.634593002196052
1541.52,-25.551809210887907
1541.5300000000002,-25.532575516019467
1541.5400000000002,-25.49447043358523
1541.5500000000002,-25.421525936006777
1541.5600000000002,-25.360193842042158
1541.5700000000002,-25.290296578181184
1541.5800000000002,-25.276784060466877
1541.5900000000001,-25.163013400481013
1541.6000000000001,-25.186283131410093
1541.6100000000001,-25.059504189352534
1541.6200000000001,-25.025110395540835
1541.63,-24.97729554230503
1541.64,-24.909774255589014
1541.65,-24.84407444152795
1541.66,-24.776448906330284
1541.67,-24.7325337616292
1541.68,-24.690573969213446
1541.69,-24.691959938649262
1541.7,-24.601680296581698
1541.71,-24.558889414137163
1541.72,-24.487034768226156
1541.73,-24.41538395720425
1541.74,-24.373469139670743
1541.75,-24.36372802724861
1541.76,-24.338403375310733
1541.77,-24.214773513812776
1541.7800000000002,-24.115857653131194
1541.7900000000002,-24.11139528460062
1541.8000000000002,-24.099389815575073
1541.8100000000002,-24.018811903721375
1541.8200000000002,-23.974255600003037
1541.8300000000002,-23.913162615107755
1541.8400000000001,-23.958852970145152
1541.8500000000001,-23.860735051868073
1541.8600000000001,-23.792858360450865
1541.8700000000001,-23.749674553336106
1541.88,-23.665034776311575
1541.89,-23.613814814314203
1541.9,-23.517019045940643
1541.91,-23.489339287457142
1541.92,-23.46572387033945
1541.93,-23.400291397012186
1541.94,-23.296785967814717
1541.95,-23.24611595625978
1541.96,-23.201810518993142
1541.97,-23.12666216836441
1541.98,-23.124329025675777
1541.99,-22.9954688909326
1542.,-22.92575223546248
1542.01,-22.859951002176942
1542.02,-22.72292826345382
1542.0300000000002,-22.730720346302647
1542.0400000000002,-22.635603432370615
1542.0500000000002,-22.58502704993292
1542.0600000000002,-22.55130486919108
1542.0700000000002,-22.405790618925494
1542.0800000000002,-22.333694131243217
1542.0900000000001,-22.27946011437766
1542.1000000000001,-22.1750552246816
1542.1100000000001,-22.16655759061801
1542.1200000000001,-22.04224124590581
1542.13,-21.952896090033633
1542.14,-21.871366422630537
1542.15,-21.83206037280896
1542.16,-21.79322324439226
1542.17,-21.719847679698127
1542.18,-21.619751126316626
1542.19,-21.553533577926434
