"Wavelength (nm)","Norm SNSPD Counts (dB)"
1540.41,-14.215209580558604
1540.42,-14.026730198826431
1540.43,-13.81067838138263
1540.44,-13.616286604502019
1540.45,-13.452129805731769
1540.46,-13.232957678051203
1540.47,-12.977381267123388
1540.48,-12.735520125985623
1540.49,-12.463223339822134
1540.5,-12.17644054675266
1540.51,-11.910611114927523
1540.52,-11.64170938753361
1540.5300000000002,-11.365218020869081
1540.5400000000002,-11.079190938806349
1540.5500000000002,-10.77551707876532
1540.5600000000002,-10.531530479639269
1540.5700000000002,-10.236086854915907
1540.5800000000002,-9.956414403234643
1540.5900000000001,-9.63985159979321
1540.6000000000001,-9.31913457382014
1540.6100000000001,-9.045980752263072
1540.6200000000001,-8.724095683553518
1540.63,-8.431807963223031
1540.64,-8.07618445595321
1540.65,-7.678135702543781
1540.66,-7.331833435015886
1540.67,-7.036772212881751
1540.68,-6.734102531021451
1540.69,-6.417539626074208
1540.7,-6.131518376753718
1540.71,-5.914911267859926
1540.72,-5.651488005972306
1540.73,-5.468301743733969
1540.74,-5.349805439650036
1540.75,-5.578965117970366
1540.76,-7.153958908802995
1540.77,-6.506937160404089
1540.7800000000002,-5.037183114805322
1540.7900000000002,-4.801251425558295
1540.8000000000002,-4.8051281932578265
1540.8100000000002,-4.909014597540148
1540.8200000000002,-4.962243317933418
1540.8300000000002,-5.145849171887431
1540.8400000000001,-5.344194575077104
1540.8500000000001,-5.539631068586144
1540.8600000000001,-5.78145586234116
1540.8700000000001,-6.03662470930392
1540.88,-6.277547227890948
1540.89,-6.537186960303788
1540.9,-6.848746254720661
1540.91,-7.132239959164627
1540.92,-7.430565408468653
1540.93,-7.774029778446688
1540.94,-8.10573448261235
1540.95,-8.405968577486195
1540.96,-8.741861510378538
1540.97,-9.043172373847796
1540.98,-9.305640883230227
1540.99,-9.591073222194467
1541.,-9.849738951730304
1541.01,-10.114274675443006
1541.02,-10.384495997236144
1541.0300000000002,-10.65804786246157
1541.0400000000002,-10.906407763678484
1541.0500000000002,-11.167942423462197
1541.0600000000002,-11.441849269071502
1541.0700000000002,-11.736111939116698
1541.0800000000002,-11.982311793763927
1541.0900000000001,-12.212255445613458
1541.1000000000001,-12.466170317945341
1541.1100000000001,-12.721569403375
1541.1200000000001,-12.949669175911158
1541.13,-13.158070110488818
1541.14,-13.396007296757354
1541.15,-13.623973962884502
1541.16,-13.79533065787986
1541.17,-14.01677309507187
1541.18,-14.203626332728629
1541.19,-14.396851809449519
1541.2,-14.610855269276637
1541.21,-14.785842354879854
1541.22,-15.015991353571764
1541.23,-15.210168689399694
1541.24,-15.358888579124127
1541.25,-15.501970980558449
1541.26,-15.654018530222881
1541.27,-15.828477140981821
1541.2800000000002,-16.011613727618847
1541.2900000000002,-16.129461832115556
1541.3000000000002,-16.292291571526647
1541.3100000000002,-16.3675943454265
1541.3200000000002,-16.487407892659064
1541.3300000000002,-16.622158243789766
1541.3400000000001,-16.72797350537573
1541.3500000000001,-16.825197258495642
1541.3600000000001,-16.956679138461524
1541.3700000000001,-17.067728940093435
1541.38,-17.19800623581644
