Freq (GHz),Response (dB)
5.18,-2.727806844
5.19,-2.729212397
5.2,-2.732504194
5.21,-2.737190833
5.22,-2.74151371
5.23,-2.742315272
5.24,-2.747539678
5.25,-2.752841148
5.26,-2.753865435
5.27,-2.756838571
5.28,-2.761874386
5.29,-2.764565809
5.3,-2.765786998
5.31,-2.770847657
5.32,-2.775658936
5.33,-2.77692589
5.34,-2.779654001
5.35,-2.784751284
5.36,-2.784908077
5.37,-2.786446981
5.38,-2.78987956
5.39,-2.793120494
5.4,-2.793059642
5.41,-2.795986912
5.42,-2.800216324
5.43,-2.800049536
5.44,-2.801289404
5.45,-2.804309032
5.46,-2.806503965
5.47,-2.806101073
5.48,-2.810101183
5.49,-2.813585264
5.5,-2.81301956
5.51,-2.814203336
5.52,-2.817472228
5.53,-2.817617967
5.54,-2.817294277
5.55,-2.82007182
5.56,-2.822722037
5.57,-2.822100904
5.58,-2.824004494
5.59,-2.824871657
5.6,-2.82158253
5.61,-2.822516107
5.62,-2.825861897
5.63,-2.826415232
5.64,-2.825435524
5.65,-2.828801922
5.66,-2.828376248
5.67,-2.824688565
5.68,-2.824724825
5.69,-2.826405397
5.7,-2.825557201
5.71,-2.82620083
5.72,-2.831131516
5.73,-2.831450395
5.74,-2.829064937
5.75,-2.829755791
5.76,-2.830971885
5.77,-2.828305851
5.78,-2.829506431
5.79,-2.834148644
5.8,-2.835003575
5.81,-2.834198539
5.82,-2.836999445
5.83,-2.837686448
5.84,-2.834273543
5.85,-2.835273839
5.86,-2.838812742
5.87,-2.839831311
5.88,-2.840114774
5.89,-2.844957626
5.9,-2.845556483
5.91,-2.843377532
5.92,-2.844286382
5.93,-2.846530007
5.94,-2.845512744
5.95,-2.846433888
5.96,-2.851368249
5.97,-2.85214876
5.98,-2.850520669
5.99,-2.852850049
6,-2.853869543
6.01,-2.85257585
6.02,-2.855628505
6.03,-2.858305144
6.04,-2.857295953
6.05,-2.858224776
6.06,-2.861975011
6.07,-2.861915629
6.08,-2.861823243
6.09,-2.864546983
6.1,-2.866805051
6.11,-2.866017893
6.12,-2.867488142
6.13,-2.871107656
6.14,-2.869886028
6.15,-2.870400824
6.16,-2.872909705
6.17,-2.874610448
6.18,-2.873140075
6.19,-2.876082498
6.2,-2.879383164
6.21,-2.878454144
6.22,-2.879392367
6.23,-2.882222049
6.24,-2.883548494
6.25,-2.882735889
6.26,-2.885871329
6.27,-2.888524428
6.28,-2.887868621
6.29,-2.889058919
6.3,-2.892836219
6.31,-2.892297646
6.32,-2.892501619
6.33,-2.895141281
6.34,-2.897153048
6.35,-2.895789977
6.36,-2.897650877
6.37,-2.901013967
6.38,-2.89995406
6.39,-2.900525922
6.4,-2.903087205
6.41,-2.904559753
6.42,-2.902958509
6.43,-2.906641787
6.44,-2.909579902
6.45,-2.908833854
6.46,-2.909705065
6.47,-2.913047556
6.48,-2.913363614
6.49,-2.913251756
6.5,-2.916512715
6.51,-2.919247054
6.52,-2.918453342
6.53,-2.919848792
6.54,-2.924092084
6.55,-2.923562073
6.56,-2.924439201
6.57,-2.927549149
6.58,-2.930008693
6.59,-2.929015838
6.6,-2.930684243
6.61,-2.934865812
6.62,-2.93435789
6.63,-2.93579871
6.64,-2.938628692
6.65,-2.94018892
6.66,-2.939515541
6.67,-2.942932616
6.68,-2.946355403
6.69,-2.946258701
6.7,-2.948380538
6.71,-2.953162175
6.72,-2.954338559
6.73,-2.955819747
6.74,-2.9600211
6.75,-2.963686438
6.76,-2.963818704
6.77,-2.966773648
6.78,-2.97207552
6.79,-2.972667919
6.8,-2.974678284
6.81,-2.978511513
6.82,-2.98174682
6.83,-2.981797478
6.84,-2.986507088
6.85,-2.991515603
6.86,-2.992341603
6.87,-2.994968445
6.88,-2.99940075
6.89,-3.002438675
6.9,-3.003358979
6.91,-3.008647885
6.92,-3.013779289
6.93,-3.015290497
6.94,-3.018769682
6.95,-3.024264065
6.96,-3.026219979
6.97,-3.028686545
6.98,-3.034168088
6.99,-3.039019976
7,-3.040223431
7.01,-3.043415396
7.02,-3.048112425
7.03,-3.048237123
7.04,-3.050290912
7.05,-3.054194249
7.06,-3.056483475
7.07,-3.056198397
7.08,-3.060933889
7.09,-3.065404659
7.1,-3.065781862
7.11,-3.067926075
7.12,-3.072471729
7.13,-3.074409072
7.14,-3.075295241
7.15,-3.079868588
7.16,-3.083831488
7.17,-3.084106354
7.18,-3.086315725
7.19,-3.091261286
7.2,-3.091430929
7.21,-3.092998138
7.22,-3.096975094
7.23,-3.100217266
7.24,-3.099780769
7.25,-3.102966233
7.26,-3.1076494
7.27,-3.107937003
7.28,-3.109998754
7.29,-3.113987437
7.3,-3.116626519
7.31,-3.116643743
7.32,-3.121196966
7.33,-3.124926255
7.34,-3.125094755
7.35,-3.127449899
7.36,-3.132284729
7.37,-3.133700938
7.38,-3.134925437
7.39,-3.138832616
7.4,-3.141822695
7.41,-3.14141585
7.42,-3.143786266
7.43,-3.148202854
7.44,-3.1478599
7.45,-3.148900036
7.46,-3.151962427
7.47,-3.153722518
7.48,-3.152292971
7.49,-3.154932591
7.5,-3.158339887
7.51,-3.157482141
7.52,-3.158543644
7.53,-3.161922419
7.54,-3.163298244
7.55,-3.162386759
7.56,-3.166067154
7.57,-3.169024592
7.58,-3.168357912
7.59,-3.169788865
7.6,-3.173846959
7.61,-3.174057761
7.62,-3.174734505
7.63,-3.178076696
7.64,-3.180779077
7.65,-3.180244113
7.66,-3.182789228
7.67,-3.187470349
7.68,-3.187533574
7.69,-3.189033834
7.7,-3.192339957
7.71,-3.194507421
7.72,-3.193663012
7.73,-3.197675957
7.74,-3.20133429
7.75,-3.20097547
7.76,-3.202847288
7.77,-3.20685352
7.78,-3.208365556
7.79,-3.208137988
7.8,-3.212122244
7.81,-3.215174177
7.82,-3.214966412
7.83,-3.21667745
7.84,-3.221304963
7.85,-3.221255337
7.86,-3.222361701
7.87,-3.225875601
7.88,-3.22880685
7.89,-3.227908325
7.9,-3.230471941
7.91,-3.234671053
7.92,-3.234502825
7.93,-3.236196546
7.94,-3.239835639
7.95,-3.242628419
7.96,-3.242806787
7.97,-3.247295136
7.98,-3.251549608
7.99,-3.250929182
8,-3.253218865
8.01,-3.256300517
8.02,-3.2561413
8.03,-3.258667181
8.04,-3.264915087
8.05,-3.266971658
8.06,-3.267264146
8.07,-3.27080942
8.08,-3.273003424
8.09,-3.271244523
8.1,-3.273942931
8.11,-3.279459484
8.12,-3.281831049
8.13,-3.283263894
8.14,-3.28947539
8.15,-3.291539029
8.16,-3.290222017
8.17,-3.292919125
8.18,-3.297279187
8.19,-3.29814973
8.2,-3.300150362
8.21,-3.30708934
8.22,-3.309508033
8.23,-3.308902868
8.24,-3.311023268
8.25,-3.31381229
8.26,-3.31310979
8.27,-3.31551118
8.28,-3.321490475
8.29,-3.323735208
8.3,-3.324222414
8.31,-3.328477474
8.32,-3.330869217
8.33,-3.329515291
8.34,-3.332094496
8.35,-3.337421551
8.36,-3.339368915
8.37,-3.341101592
8.38,-3.347344529
8.39,-3.349647064
8.4,-3.348769795
8.41,-3.351062409
8.42,-3.355052937
8.43,-3.355157623
8.44,-3.357264616
8.45,-3.361205545
8.46,-3.360986627
8.47,-3.362463924
8.48,-3.366359516
8.49,-3.368026832
8.5,-3.367211823
8.51,-3.370899418
8.52,-3.373423942
8.53,-3.37309071
8.54,-3.374878998
8.55,-3.379290531
8.56,-3.380102219
8.57,-3.380576142
8.58,-3.384089803
8.59,-3.386695152
8.6,-3.386586296
8.61,-3.388012175
8.62,-3.391994296
8.63,-3.391405995
8.64,-3.392374201
8.65,-3.395873061
8.66,-3.398117219
8.67,-3.397360054
8.68,-3.400755922
8.69,-3.404764539
8.7,-3.40460226
8.71,-3.406178552
8.72,-3.410372399
8.73,-3.412200343
8.74,-3.412137493
8.75,-3.416090377
8.76,-3.419267796
8.77,-3.418529692
8.78,-3.419916485
8.79,-3.423759077
8.8,-3.423392096
8.81,-3.423500813
8.82,-3.426384798
8.83,-3.428205825
8.84,-3.426218551
8.85,-3.427762804
8.86,-3.431244018
8.87,-3.430151363
8.88,-3.430932269
8.89,-3.433674589
8.9,-3.435439752
8.91,-3.434085967
8.92,-3.43689091
8.93,-3.440197872
8.94,-3.439362515
8.95,-3.441249617
8.96,-3.445239345
8.97,-3.44688992
8.98,-3.446779928
8.99,-3.450160714
9,-3.452894769
9.01,-3.452434206
9.02,-3.453976816
9.03,-3.457959549
9.04,-3.457581476
9.05,-3.458105834
9.06,-3.46110583
9.07,-3.46333074
9.08,-3.461395661
9.09,-3.46328195
9.1,-3.466783756
9.11,-3.465860981
9.12,-3.467022031
9.13,-3.469988913
9.14,-3.471500806
9.15,-3.470164104
9.16,-3.473672272
9.17,-3.476818705
9.18,-3.476166094
9.19,-3.477512248
9.2,-3.481490351
9.21,-3.482012731
9.22,-3.481758464
9.23,-3.48470897
9.24,-3.487040456
9.25,-3.485764963
9.26,-3.486807894
9.27,-3.490071999
9.28,-3.488755947
9.29,-3.488758672
9.3,-3.491086444
9.31,-3.492282992
9.32,-3.489979677
9.33,-3.491620757
9.34,-3.494312348
9.35,-3.492512548
9.36,-3.493022543
9.37,-3.495645077
9.38,-3.496282348
9.39,-3.494654237
9.4,-3.497298776
9.41,-3.49948679
9.42,-3.497845597
9.43,-3.49821933
9.44,-3.501513496
9.45,-3.500891251
9.46,-3.500332038
9.47,-3.502708468
9.48,-3.503991846
9.49,-3.501709229
9.5,-3.502721531
9.51,-3.506207717
9.52,-3.504876854
9.53,-3.505424797
9.54,-3.507971154
9.55,-3.509799239
9.56,-3.507631199
9.57,-3.509680008
9.58,-3.512190338
9.59,-3.510223955
9.6,-3.510344156
9.61,-3.512554893
9.62,-3.512381751
9.63,-3.510811097
9.64,-3.512970667
9.65,-3.51436365
9.66,-3.512392463
9.67,-3.512659094
9.68,-3.515408302
9.69,-3.513636843
9.7,-3.512810941
9.71,-3.514216183
9.72,-3.514979165
9.73,-3.511634717
9.74,-3.512062129
9.75,-3.514344633
9.76,-3.512019838
9.77,-3.511498726
9.78,-3.512877512
9.79,-3.513462977
9.8,-3.510669792
9.81,-3.512831301
9.82,-3.514597281
9.83,-3.512943577
9.84,-3.513334147
9.85,-3.51653294
9.86,-3.51670473
9.87,-3.515885299
9.88,-3.518469282
9.89,-3.520560475
9.9,-3.519269268
9.91,-3.520181457
9.92,-3.523553786
9.93,-3.522282703
9.94,-3.522402004
9.95,-3.524361908
9.96,-3.525667406
9.97,-3.523329021
9.98,-3.524907834
9.99,-3.527749814
10,-3.526281974
10.01,-3.526684202
10.02,-3.529147717
10.03,-3.530304815
10.04,-3.528923692
10.05,-3.532374137
10.06,-3.535121622
10.07,-3.534356254
10.08,-3.535572182
10.09,-3.539544685
10.1,-3.53956713
10.11,-3.53950347
10.12,-3.542364195
10.13,-3.544629823
10.14,-3.54284733
10.15,-3.544213484
10.16,-3.547848782
10.17,-3.54648329
10.18,-3.546592283
10.19,-3.54894489
10.2,-3.550500841
10.21,-3.548597845
10.22,-3.550794786
10.23,-3.553888467
10.24,-3.552577262
10.25,-3.553138225
10.26,-3.556009315
10.27,-3.5572482
10.28,-3.556030587
10.29,-3.558891157
10.3,-3.561194784
10.31,-3.560148759
10.32,-3.560915746
10.33,-3.564267184
10.34,-3.563551423
10.35,-3.563185162
10.36,-3.565612854
10.37,-3.567215247
10.38,-3.564849811
10.39,-3.565629168
10.4,-3.568334504
10.41,-3.56635263
10.42,-3.565965683
10.43,-3.56747801
10.44,-3.568328965
10.45,-3.568748833
10.46,-3.57394084
10.47,-3.574834254
10.48,-3.57260169
10.49,-3.573949062
10.5,-3.576444928
10.51,-3.575489001
10.52,-3.57764587
10.53,-3.582805338
10.54,-3.583773254
10.55,-3.582289635
10.56,-3.584012708
10.57,-3.584719948
10.58,-3.581438067
10.59,-3.581808184
10.6,-3.585467057
10.61,-3.586070015
10.62,-3.585174097
10.63,-3.588488798
10.64,-3.588618838
10.65,-3.585091973
10.66,-3.585223688
10.67,-3.587227744
10.68,-3.58628836
10.69,-3.586196426
10.7,-3.590342072
10.71,-3.590350687
10.72,-3.587308506
10.73,-3.587036892
10.74,-3.587401084
10.75,-3.584159909
10.76,-3.584305864
10.77,-3.58845543
10.78,-3.588845322
10.79,-3.587182358
10.8,-3.589151127
10.81,-3.589912129
10.82,-3.586824754
10.83,-3.58789916
10.84,-3.591677205
10.85,-3.59230306
10.86,-3.592131451
10.87,-3.596594038
10.88,-3.595648199
10.89,-3.595856509
10.9,-3.598447901
10.91,-3.600230162
10.92,-3.59823801
10.93,-3.599711048
10.94,-3.602917811
10.95,-3.601326864
10.96,-3.602085475
10.97,-3.604539647
10.98,-3.605826449
10.99,-3.604303158
11,-3.60656256
11.01,-3.609187223
11.02,-3.6084414
11.03,-3.609709659
11.04,-3.61352661
11.05,-3.614213142
11.06,-3.614275354
11.07,-3.617332865
11.08,-3.619783638
11.09,-3.618734413
11.1,-3.620200397
11.11,-3.624341384
11.12,-3.623629816
11.13,-3.624050203
11.14,-3.626922739
11.15,-3.628804794
11.16,-3.626761069
11.17,-3.629215251
11.18,-3.632476291
11.19,-3.631534682
11.2,-3.632414359
11.21,-3.635617985
11.22,-3.637000363
11.23,-3.635927829
11.24,-3.639249044
11.25,-3.642131066
11.26,-3.641441704
11.27,-3.642896888
11.28,-3.646632428
11.29,-3.64676573
11.3,-3.64674077
11.31,-3.649656125
11.32,-3.65177737
11.33,-3.650496509
11.34,-3.652007608
11.35,-3.655768574
11.36,-3.654633627
11.37,-3.654943116
11.38,-3.65732039
11.39,-3.658984428
11.4,-3.657271974
11.41,-3.660054269
11.42,-3.663077264
11.43,-3.662184565
11.44,-3.663403304
11.45,-3.667114452
11.46,-3.668344728
11.47,-3.666495867
11.48,-3.66802672
11.49,-3.671169686
11.5,-3.670415696
11.51,-3.672058218
11.52,-3.676802499
11.53,-3.677668541
11.54,-3.67665497
11.55,-3.678165121
11.56,-3.679498523
11.57,-3.676736362
11.58,-3.677803631
11.59,-3.681744074
11.6,-3.682663984
11.61,-3.682817338
11.62,-3.68573366
11.63,-3.686173222
11.64,-3.682893559
11.65,-3.683490519
11.66,-3.685885916
11.67,-3.685085628
11.68,-3.685524646
11.69,-3.68931593
11.7,-3.689613062
11.71,-3.68742279
11.72,-3.688225735
11.73,-3.69018255
11.74,-3.688740295
11.75,-3.690030627
11.76,-3.694540974
11.77,-3.695919702
11.78,-3.695882382
11.79,-3.698651492
11.8,-3.700552112
11.81,-3.69833722
11.82,-3.700564896
11.83,-3.705330755
11.84,-3.707234972
11.85,-3.708964206
11.86,-3.713595819
11.87,-3.715629359
11.88,-3.714216525
11.89,-3.716454119
11.9,-3.720401595
11.91,-3.720875876
11.92,-3.723882117
11.93,-3.729969872
11.94,-3.732306497
11.95,-3.732743205
11.96,-3.735918038
11.97,-3.739676204
11.98,-3.739706192
11.99,-3.742938903
12,-3.749086358
12.01,-3.752294002
12.02,-3.754102646
12.03,-3.758792842
12.04,-3.76185724
12.05,-3.760605896
12.06,-3.763780687
12.07,-3.768893388
12.08,-3.771282746
12.09,-3.774229323
12.1,-3.780180828
12.11,-3.782912187
12.12,-3.782783456
12.13,-3.786050527
12.14,-3.790979161
12.15,-3.792148193
12.16,-3.79586527
12.17,-3.802955637
12.18,-3.806351223
12.19,-3.807825666
12.2,-3.812152727
12.21,-3.816212906
12.22,-3.816420838
12.23,-3.820272657
12.24,-3.827069682
12.25,-3.830609535
12.26,-3.833337305
12.27,-3.838577482
12.28,-3.842189655
12.29,-3.841708658
12.3,-3.845395711
12.31,-3.850604391
12.32,-3.852832616
12.33,-3.85637266
12.34,-3.862790675
12.35,-3.866092093
12.36,-3.866426047
12.37,-3.869762588
12.38,-3.874597992
12.39,-3.87569506
12.4,-3.879119885
12.41,-3.885906095
12.42,-3.889150166
12.43,-3.890934556
12.44,-3.895445648
12.45,-3.898442574
12.46,-3.897357602
12.47,-3.900288119
12.48,-3.905564635
12.49,-3.908056746
12.5,-3.909921931
12.51,-3.913168034
12.52,-3.915623092
12.53,-3.91460262
12.54,-3.917071913
12.55,-3.921128331
12.56,-3.921162721
12.57,-3.923590246
12.58,-3.928718218
12.59,-3.930917407
12.6,-3.931115486
12.61,-3.934350349
12.62,-3.937305198
12.63,-3.936970193
12.64,-3.939639671
12.65,-3.944940995
12.66,-3.947029996
12.67,-3.948808012
12.68,-3.952917993
12.69,-3.955779045
12.7,-3.955014173
12.71,-3.957765301
12.72,-3.962511421
12.73,-3.96314883
12.74,-3.966166648
12.75,-3.971172446
12.76,-3.974373835
12.77,-3.975219811
12.78,-3.980094506
