"Delta Herald Wavelength / pm","Delta Signal Wavelength / pm","Counts"
-780.,-75.,0
-780.,-60.,0
-780.,-45.,0
-780.,-30.,0
-780.,-15.,0
-780.,0,0
-780.,15.,0
-780.,30.,0
-780.,45.,0
-780.,60.,0
-780.,75.,0
-780.,90.,0
-780.,105.,0
-780.,120.,0
-780.,135.,0
-780.,150.,0
-780.,165.,0
-780.,180.,0
-780.,195.,0
-780.,210.,0
-780.,225.,0
-780.,240.,0
-780.,255.,0
-780.,270.,0
-780.,285.,0
-780.,300.,0
-780.,315.,1.
-780.,330.,0
-780.,345.,0
-780.,360.,0
-780.,375.,0
-780.,390.,0
-780.,405.,0
-780.,420.,0
-780.,435.,0
-780.,450.,0
-780.,465.,0
-780.,480.,0
-780.,495.,0
-780.,510.,0
-780.,525.,0
-780.,540.,0
-780.,555.,0
-780.,570.,0
-780.,585.,0
-780.,600.,0
-780.,615.,0
-780.,630.,0
-780.,645.,0
-780.,660.,0
-780.,675.,0
-780.,690.,0
-780.,705.,0
-780.,720.,0
-780.,735.,0
-780.,750.,0
-780.,765.,0
-780.,780.,0
-780.,795.,0
-780.,810.,0
-780.,825.,0
-765.,-825.,0
-765.,-810.,0
-765.,-795.,0
-765.,-780.,0
-765.,-765.,0
-765.,-750.,0
-765.,-735.,0
-765.,-720.,0
-765.,-705.,0
-765.,-690.,0
-765.,-675.,0
-765.,-660.,0
-765.,-645.,0
-765.,-630.,0
-765.,-615.,0
-765.,-600.,0
-765.,-585.,0
-765.,-570.,0
-765.,-555.,0
-765.,-540.,0
-765.,-525.,0
-765.,-510.,0
-765.,-495.,0
-765.,-480.,0
-765.,-465.,0
-765.,-450.,0
-765.,-435.,0
-765.,-420.,0
-765.,-405.,0
-765.,-390.,0
-765.,-375.,0
-765.,-360.,0
-765.,-345.,0
-765.,-330.,0
-765.,-315.,0
-765.,-300.,0
-765.,-285.,1.
-765.,-270.,0
-765.,-255.,0
-765.,-240.,0
-765.,-225.,0
-765.,-210.,0
-765.,-195.,0
-765.,-180.,0
-765.,-165.,0
-765.,-150.,0
-765.,-135.,0
-765.,-120.,0
-765.,-105.,0
-765.,-90.,0
-765.,-75.,0
-765.,-60.,0
-765.,-45.,0
-765.,-30.,0
-765.,-15.,0
-765.,0,0
-765.,15.,0
-765.,30.,0
-765.,45.,1.
-765.,60.,0
-765.,75.,0
-765.,90.,0
-765.,105.,0
-765.,120.,0
-765.,135.,0
-765.,150.,0
-765.,165.,0
-765.,180.,0
-765.,195.,0
-765.,210.,0
-765.,225.,0
-765.,240.,0
-765.,255.,0
-765.,270.,0
-765.,285.,0
-765.,300.,0
-765.,315.,0
-765.,330.,0
-765.,345.,1.
-765.,360.,0
-765.,375.,0
-765.,390.,0
-765.,405.,0
-765.,420.,0
-765.,435.,0
-765.,450.,0
-765.,465.,0
-765.,480.,0
-765.,495.,0
-765.,510.,0
-765.,525.,2.
-765.,540.,0
-765.,555.,0
-765.,570.,0
-765.,585.,0
-765.,600.,0
-765.,615.,0
-765.,630.,0
-765.,645.,0
-765.,660.,0
-765.,675.,0
-765.,690.,0
-765.,705.,0
-765.,720.,0
-765.,735.,0
-765.,750.,0
-765.,765.,0
-765.,780.,0
-765.,795.,0
-765.,810.,0
-765.,825.,0
-750.,-825.,0
-750.,-810.,0
-750.,-795.,0
-750.,-780.,0
-750.,-765.,0
-750.,-750.,0
-750.,-735.,0
-750.,-720.,0
-750.,-705.,0
-750.,-690.,0
-750.,-675.,0
-750.,-660.,0
-750.,-645.,0
-750.,-630.,0
-750.,-615.,0
-750.,-600.,0
-750.,-585.,0
-750.,-570.,0
-750.,-555.,0
-750.,-540.,0
-750.,-525.,0
-750.,-510.,0
-750.,-495.,0
-750.,-480.,0
-750.,-465.,0
-750.,-450.,0
-750.,-435.,0
-750.,-420.,0
-750.,-405.,0
-750.,-390.,0
-750.,-375.,0
-750.,-360.,0
-750.,-345.,0
-750.,-330.,0
-750.,-315.,0
-750.,-300.,0
-750.,-285.,0
-750.,-270.,0
-750.,-255.,0
-750.,-240.,0
-750.,-225.,0
-750.,-210.,0
-750.,-195.,0
-750.,-180.,0
